"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PC11","I/O","","","USART3_RX","USART4_RX","TIM1_CH4","","","","",""
"2","PC12","I/O","","","LPTIM1_IN1","","TIM14_CH1","","","","",""
"3","PC13","I/O","","","","","TIM1_BK","","","","",""
"4","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"5","PC15-OSC32_OUT (PC15)","I/O","","","RCC_OSC32_EN","RCC_OSC_EN","TIM15_BK","","","","",""
"6","VBAT","Power","","","","","","","","","",""
"7","VREF+","MonoIO","","","","","","","","","",""
"8","VDD","Power","","","","","","","","","",""
"9","VSS","Power","","","","","","","","","",""
"10","PF0-OSC_IN (PF0)","I/O","","","","","TIM14_CH1","","","","",""
"11","PF1-OSC_OUT (PF1)","I/O","","","RCC_OSC_EN","","TIM15_CH1N","","","","",""
"12","PF2 - NRST","I/O","","","RCC_MCO","","","","","","",""
"13","PC0","I/O","","","LPTIM1_IN1","LPUART1_RX","LPTIM2_IN1","","","","",""
"14","PC1","I/O","","","LPTIM1_OUT","LPUART1_TX","TIM15_CH1","","","","",""
"15","PC2","I/O","","","LPTIM1_IN2","SPI2_MISO","TIM15_CH2","","","","",""
"16","PC3","I/O","","","LPTIM1_ETR","SPI2_MOSI","LPTIM2_ETR","","","","",""
"17","PA0","I/O","","","SPI2_SCK","USART2_CTS/USART2_NSS","TIM2_CH1/TIM2_ETR","","USART4_TX","LPTIM1_OUT","","COMP1_OUT"
"18","PA1","I/O","","","I2S1_CK/SPI1_SCK","USART2_CK/USART2_DE/USART2_RTS","TIM2_CH2","","USART4_RX","TIM15_CH1N","I2C1_SMBA","EVENTOUT"
"19","PA2","I/O","","","I2S1_SD/SPI1_MOSI","USART2_TX","TIM2_CH3","","","TIM15_CH1","LPUART1_TX","COMP2_OUT"
"20","PA3","I/O","","","SPI2_MISO","USART2_RX","TIM2_CH4","","","TIM15_CH2","LPUART1_RX","EVENTOUT"
"21","PA4","I/O","","","I2S1_WS/SPI1_NSS","SPI2_MOSI","","","TIM14_CH1","LPTIM2_OUT","","EVENTOUT"
"22","PA5","I/O","","","I2S1_CK/SPI1_SCK","CEC","TIM2_CH1/TIM2_ETR","","USART3_TX","LPTIM2_ETR","","EVENTOUT"
"23","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BK","","USART3_CTS/USART3_NSS","TIM16_CH1","LPUART1_CTS","COMP1_OUT"
"24","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","","COMP2_OUT"
"25","PC4","I/O","","","USART3_TX","USART1_TX","TIM2_CH1/TIM2_ETR","","","","",""
"26","PC5","I/O","","","USART3_RX","USART1_RX","TIM2_CH2","","","","",""
"27","PB0","I/O","","","I2S1_WS/SPI1_NSS","TIM3_CH3","TIM1_CH2N","","USART3_RX","LPTIM1_OUT","","COMP1_OUT"
"28","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","USART3_CK/USART3_DE/USART3_RTS","LPTIM2_IN1","LPUART1_DE/LPUART1_RTS","EVENTOUT"
"29","PB2","I/O","","","","SPI2_MISO","","","USART3_TX","LPTIM1_OUT","","EVENTOUT"
"30","PB10","I/O","","","CEC","LPUART1_RX","TIM2_CH3","","USART3_TX","SPI2_SCK","I2C2_SCL","COMP1_OUT"
"31","PB11","I/O","","","SPI2_MOSI","LPUART1_TX","TIM2_CH4","","USART3_RX","","I2C2_SDA","COMP2_OUT"
"32","PB12","I/O","","","SPI2_NSS","LPUART1_DE/LPUART1_RTS","TIM1_BK","","","TIM15_BK","","EVENTOUT"
"33","PB13","I/O","","","SPI2_SCK","LPUART1_CTS","TIM1_CH1N","","USART3_CTS/USART3_NSS","TIM15_CH1N","I2C2_SCL","EVENTOUT"
"34","PB14","I/O","","","SPI2_MISO","","TIM1_CH2N","","USART3_CK/USART3_DE/USART3_RTS","TIM15_CH1","I2C2_SDA","EVENTOUT"
"35","PB15","I/O","","","SPI2_MOSI","","TIM1_CH3N","","TIM15_CH1N","TIM15_CH2","","EVENTOUT"
"36","PA8","I/O","","","RCC_MCO","SPI2_NSS","TIM1_CH1","","","LPTIM2_OUT","","EVENTOUT"
"37","PA9","I/O","","","RCC_MCO","USART1_TX","TIM1_CH2","","SPI2_MISO","TIM15_BK","I2C1_SCL","EVENTOUT"
"38","PC6","I/O","","","","TIM3_CH1","TIM2_CH3","","","","",""
"39","PC7","I/O","","","","TIM3_CH2","TIM2_CH4","","","","",""
"40","PD8","I/O","","","USART3_TX","I2S1_CK/SPI1_SCK","LPTIM1_OUT","","","","",""
"41","PD9","I/O","","","USART3_RX","I2S1_WS/SPI1_NSS","TIM1_BK2","","","","",""
"42","PA10","I/O","","","SPI2_MOSI","USART1_RX","TIM1_CH3","","","TIM17_BK","I2C1_SDA","EVENTOUT"
"43","PA11 [PA9]","I/O","","","I2S1_MCK/SPI1_MISO","USART1_CTS/USART1_NSS","TIM1_CH4","","","TIM1_BK2","I2C2_SCL","COMP1_OUT"
"44","PA12 [PA10]","I/O","","","I2S1_SD/SPI1_MOSI","USART1_CK/USART1_DE/USART1_RTS","TIM1_ETR","","","I2S_CKIN","I2C2_SDA","COMP2_OUT"
"45","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","","EVENTOUT"
"46","PA14-BOOT0","I/O","","","SYS_SWCLK","USART2_TX","","","","","","EVENTOUT"
"47","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","","USART4_CK/USART4_DE/USART4_RTS","USART3_CK/USART3_DE/USART3_RTS","","EVENTOUT"
"48","PC8","I/O","","","","TIM3_CH3","TIM1_CH1","","","","",""
"49","PC9","I/O","","","I2S_CKIN","TIM3_CH4","TIM1_CH2","","","","",""
"50","PD0","I/O","","","EVENTOUT","SPI2_NSS","TIM16_CH1","","","","",""
"51","PD1","I/O","","","EVENTOUT","SPI2_SCK","TIM17_CH1","","","","",""
"52","PD2","I/O","","","USART3_CK/USART3_DE/USART3_RTS","TIM3_ETR","TIM1_CH1N","","","","",""
"53","PD3","I/O","","","USART2_CTS/USART2_NSS","SPI2_MISO","TIM1_CH2N","","","","",""
"54","PD4","I/O","","","USART2_CK/USART2_DE/USART2_RTS","SPI2_MOSI","TIM1_CH3N","","","","",""
"55","PD5","I/O","","","USART2_TX","I2S1_MCK/SPI1_MISO","TIM1_BK","","","","",""
"56","PD6","I/O","","","USART2_RX","I2S1_SD/SPI1_MOSI","LPTIM2_OUT","","","","",""
"57","PB3","I/O","","","I2S1_CK/SPI1_SCK","TIM1_CH2","TIM2_CH2","","USART1_CK/USART1_DE/USART1_RTS","","","EVENTOUT"
"58","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","","","USART1_CTS/USART1_NSS","TIM17_BK","","EVENTOUT"
"59","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BK","","","LPTIM1_IN1","I2C1_SMBA","COMP2_OUT"
"60","PB6","I/O","","","USART1_TX","TIM1_CH3","TIM16_CH1N","","SPI2_MISO","LPTIM1_ETR","I2C1_SCL","EVENTOUT"
"61","PB7","I/O","","","USART1_RX","SPI2_MOSI","TIM17_CH1N","","USART4_CTS/USART4_NSS","LPTIM1_IN2","I2C1_SDA","EVENTOUT"
"62","PB8","I/O","","","CEC","SPI2_SCK","TIM16_CH1","","USART3_TX","TIM15_BK","I2C1_SCL","EVENTOUT"
"63","PB9","I/O","","","IR_OUT","","TIM17_CH1","","USART3_RX","SPI2_NSS","I2C1_SDA","EVENTOUT"
"64","PC10","I/O","","","USART3_TX","USART4_TX","TIM1_CH3","","","","",""
