"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"1","VDD","Power","","","","","","","","",""
"2","PC13","I/O","","","","","","","","",""
"3","PC14-OSC32_IN","I/O","","","","","","","","",""
"4","PC15-OSC32_OUT","I/O","","","","","","","","",""
"5","PF0-OSC_IN","I/O","","","","","","","","",""
"6","PF1-OSC_OUT","I/O","","","","","","","","",""
"7","NRST","Reset","","","","","","","","",""
"8","VSSA","Power","","","","","","","","",""
"9","VDDA","Power","","","","","","","","",""
"10","PA0","I/O","","","RTC_TAMP2/SYS_WKUP1","USART2_CTS","","","","",""
"11","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","","","","",""
"12","PA2","I/O","","","TIM15_CH1","USART2_TX","","","","",""
"13","PA3","I/O","","","TIM15_CH2","USART2_RX","","","","",""
"14","PA4","I/O","","","SPI1_NSS","USART2_CK","","","TIM14_CH1","",""
"15","PA5","I/O","","","SPI1_SCK","","","","","",""
"16","PA6","I/O","","","SPI1_MISO","TIM3_CH1","TIM1_BKIN","","","TIM16_CH1","EVENTOUT"
"17","PA7","I/O","","","SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","EVENTOUT"
"18","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","","","",""
"19","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","",""
"20","PB2","I/O","","","","","","","","",""
"21","PB10","I/O","","","","I2C2_SCL","","","","",""
"22","PB11","I/O","","","EVENTOUT","I2C2_SDA","","","","",""
"23","VSS","Power","","","","","","","","",""
"24","VDD","Power","","","","","","","","",""
"25","PB12","I/O","","","SPI2_NSS","EVENTOUT","TIM1_BKIN","","","",""
"26","PB13","I/O","","","SPI2_SCK","","TIM1_CH1N","","","",""
"27","PB14","I/O","","","SPI2_MISO","TIM15_CH1","TIM1_CH2N","","","",""
"28","PB15","I/O","","","RTC_REFIN/SPI2_MOSI","TIM15_CH2","TIM1_CH3N","TIM15_CH1N","","",""
"29","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","",""
"30","PA9","I/O","","","TIM15_BKIN","USART1_TX","TIM1_CH2","","","",""
"31","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","","","",""
"32","PA11","I/O","","","EVENTOUT","USART1_CTS","TIM1_CH4","","","",""
"33","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","","","",""
"34","PA13","I/O","","","","IR_OUT","","","","",""
"35","PF6","I/O","","","","","","","","",""
"36","PF7","I/O","","","","","","","","",""
"37","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","",""
"38","PA15","I/O","","","SPI1_NSS","USART2_RX","","EVENTOUT","","",""
"39","PB3","I/O","","","SPI1_SCK","EVENTOUT","","","","",""
"40","PB4","I/O","","","SPI1_MISO","TIM3_CH1","EVENTOUT","","","",""
"41","PB5","I/O","","","SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","",""
"42","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","","","",""
"43","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","","","",""
"44","BOOT0","Boot","","","","","","","","",""
"45","PB8","I/O","","","","I2C1_SCL","TIM16_CH1","","","",""
"46","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","","",""
"47","VSS","Power","","","","","","","","",""
"48","VDD","Power","","","","","","","","",""
