"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"48","VCAP_1","Power","","","","","","","","","","","","","","","",""
"49","VSS","Power","","","","","","","","","","","","","","","",""
"50","VDD","Power","","","","","","","","","","","","","","","",""
"51","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","SAI1_SCK_B","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","","USB_OTG_HS_ID",""
"52","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_CK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","","",""
"53","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM",""
"54","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP",""
"55","PD8","I/O","","","","","","","","","","USART3_TX","SPDIFRX_IN1","","","","FMC_D13/FMC_DA13",""
"56","PD9","I/O","","","","","","","","","","USART3_RX","","","","","FMC_D14/FMC_DA14",""
"57","PD10","I/O","","","","","","","","","","USART3_CK","","","","","FMC_D15/FMC_DA15",""
"58","PD11","I/O","","","","","","","FMPI2C1_SMBA","","","USART3_CTS","","QUADSPI_BK1_IO0","SAI2_SD_A","","FMC_A16",""
"59","PD12","I/O","","","","","TIM4_CH1","","FMPI2C1_SCL","","","USART3_RTS","","QUADSPI_BK1_IO1","SAI2_FS_A","","FMC_A17",""
"60","PD13","I/O","","","","","TIM4_CH2","","FMPI2C1_SDA","","","","","QUADSPI_BK1_IO3","SAI2_SCK_A","","FMC_A18",""
"61","PD14","I/O","","","","","TIM4_CH3","","FMPI2C1_SCL","","","","SAI2_SCK_A","","","","FMC_D0/FMC_DA0",""
"62","PD15","I/O","","","","","TIM4_CH4","","FMPI2C1_SDA","","","","","","","","FMC_D1/FMC_DA1",""
"63","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","FMPI2C1_SCL","I2S2_MCK","","","USART6_TX","","","","SDIO_D6","DCMI_D0"
"64","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","FMPI2C1_SDA","I2S2_CK/SPI2_SCK","I2S3_MCK","SPDIFRX_IN1","USART6_RX","","","","SDIO_D7","DCMI_D1"
"65","PC8","I/O","","","SYS_TRACED0","","TIM3_CH3","TIM8_CH3","","","","UART5_RTS","USART6_CK","","","","SDIO_D0","DCMI_D2"
"66","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","UART5_CTS","","QUADSPI_BK1_IO0","","","SDIO_D1","DCMI_D3"
"67","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","",""
"68","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","I2S2_CK/SPI2_SCK","SAI1_SD_B","USART1_TX","","","","","","DCMI_D0"
"69","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","","","DCMI_D1"
"70","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","",""
"71","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","SAI2_FS_B","CAN1_TX","USB_OTG_FS_DP","","",""
"72","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","",""
"73","VCAP_2","Power","","","","","","","","","","","","","","","",""
"74","VSS","Power","","","","","","","","","","","","","","","",""
"75","VDD","Power","","","","","","","","","","","","","","","",""
"76","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","",""
"77","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","","UART4_RTS","","","","",""
"78","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDIO_D2","DCMI_D8"
"79","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDIO_D3","DCMI_D4"
"80","PC12","I/O","","","","","","","I2C2_SDA","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9"
"81","PD0","I/O","","","","","","","","SPI4_MISO","I2S3_SD/SPI3_MOSI","","","CAN1_RX","","","FMC_D2/FMC_DA2",""
"82","PD1","I/O","","","","","","","","","","I2S2_WS/SPI2_NSS","","CAN1_TX","","","FMC_D3/FMC_DA3",""
"83","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11"
"84","PD3","I/O","","","SYS_TRACED1","","","","","I2S2_CK/SPI2_SCK","","USART2_CTS","","QUADSPI_CLK","","","FMC_CLK","DCMI_D5"
"85","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","FMC_NOE",""
"86","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FMC_NWE",""
"87","PD6","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","USART2_RX","","","","","FMC_NWAIT","DCMI_D10"
"88","PD7","I/O","","","","","","","","","","USART2_CK","SPDIFRX_IN0","","","","FMC_NE1",""
"89","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","I2C2_SDA","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","",""
"90","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","I2C3_SDA","SPI1_MISO","SPI3_MISO","I2S2_WS/SPI2_NSS","","","","","",""
"91","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","I2S1_SD/SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","","FMC_SDCKE1","DCMI_D10"
"92","PB6","I/O","","","","","TIM4_CH1","CEC","I2C1_SCL","","","USART1_TX","","CAN2_TX","QUADSPI_BK1_NCS","","FMC_SDNE1","DCMI_D5"
"93","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","SPDIFRX_IN0","","","","FMC_NL","DCMI_VSYNC"
"94","BOOT0","Boot","","","","","","","","","","","","","","","",""
"95","PB8","I/O","","","","TIM2_CH1/TIM2_ETR","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","","SDIO_D4","DCMI_D6"
"96","PB9","I/O","","","","TIM2_CH2","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","SAI1_FS_B","","","CAN1_TX","","","SDIO_D5","DCMI_D7"
"97","PE0","I/O","","","","","TIM4_ETR","","","","","","","","SAI2_MCLK_A","","FMC_NBL0","DCMI_D2"
"98","PE1","I/O","","","","","","","","","","","","","","","FMC_NBL1","DCMI_D3"
"99","VSS","Power","","","","","","","","","","","","","","","",""
"100","VDD","Power","","","","","","","","","","","","","","","",""
