"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PC13","I/O","","","","","TIM1_BK","","","","",""
"2","PC14-OSC32_IN (PC14)","I/O","","","","","TIM1_BK2","","","","",""
"3","PC15-OSC32_OUT (PC15)","I/O","","","RCC_OSC32_EN","RCC_OSC_EN","","","","","",""
"4","VBAT","Power","","","","","","","","","",""
"5","VREF+","MonoIO","","","","","","","","","",""
"6","VDD/VDDA","MonoIO","","","","","","","","","",""
"7","VSS/VSSA","MonoIO","","","","","","","","","",""
"8","PF0-OSC_IN (PF0)","I/O","","","","","TIM14_CH1","","","","",""
"9","PF1-OSC_OUT (PF1)","I/O","","","RCC_OSC_EN","","","","","","",""
"10","NRST","MonoIO","","","","","","","","","",""
"11","PA0","I/O","","","SPI2_SCK","USART2_CTS/USART2_NSS","","","","","",""
"12","PA1","I/O","","","I2S1_CK/SPI1_SCK","USART2_CK/USART2_DE/USART2_RTS","","","","","I2C1_SMBA","EVENTOUT"
"13","PA2","I/O","","","I2S1_SD/SPI1_MOSI","USART2_TX","","","","","",""
"14","PA3","I/O","","","SPI2_MISO","USART2_RX","","","","","","EVENTOUT"
"15","PA4","I/O","","","I2S1_WS/SPI1_NSS","SPI2_MOSI","","","TIM14_CH1","","","EVENTOUT"
"16","PA5","I/O","","","I2S1_CK/SPI1_SCK","","","","","","","EVENTOUT"
"17","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BK","","","TIM16_CH1","",""
"18","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","",""
"19","PB0","I/O","","","I2S1_WS/SPI1_NSS","TIM3_CH3","TIM1_CH2N","","","","",""
"20","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","","","EVENTOUT"
"21","PB2","I/O","","","","SPI2_MISO","","","","","","EVENTOUT"
"22","PB10","I/O","","","","","","","","SPI2_SCK","I2C2_SCL",""
"23","PB11","I/O","","","SPI2_MOSI","","","","","","I2C2_SDA",""
"24","PB12","I/O","","","SPI2_NSS","","TIM1_BK","","","","","EVENTOUT"
"25","PB13","I/O","","","SPI2_SCK","","TIM1_CH1N","","","","I2C2_SCL","EVENTOUT"
"26","PB14","I/O","","","SPI2_MISO","","TIM1_CH2N","","","","I2C2_SDA","EVENTOUT"
"27","PB15","I/O","","","SPI2_MOSI","","TIM1_CH3N","","","","","EVENTOUT"
"28","PA8","I/O","","","RCC_MCO","SPI2_NSS","TIM1_CH1","","","","","EVENTOUT"
"29","PA9","I/O","","","RCC_MCO","USART1_TX","TIM1_CH2","","SPI2_MISO","","I2C1_SCL","EVENTOUT"
"30","PC6","I/O","","","","TIM3_CH1","","","","","",""
"31","PC7","I/O","","","","TIM3_CH2","","","","","",""
"32","PA10","I/O","","","SPI2_MOSI","USART1_RX","TIM1_CH3","","","TIM17_BK","I2C1_SDA","EVENTOUT"
"33","PA11 [PA9]","I/O","","","I2S1_MCK/SPI1_MISO","USART1_CTS/USART1_NSS","TIM1_CH4","","","TIM1_BK2","I2C2_SCL",""
"34","PA12 [PA10]","I/O","","","I2S1_SD/SPI1_MOSI","USART1_CK/USART1_DE/USART1_RTS","TIM1_ETR","","","I2S_CKIN","I2C2_SDA",""
"35","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","","EVENTOUT"
"36","PA14-BOOT0","I/O","","","SYS_SWCLK","USART2_TX","","","","","","EVENTOUT"
"37","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","","","","","","EVENTOUT"
"38","PD0","I/O","","","EVENTOUT","SPI2_NSS","TIM16_CH1","","","","",""
"39","PD1","I/O","","","EVENTOUT","SPI2_SCK","TIM17_CH1","","","","",""
"40","PD2","I/O","","","","TIM3_ETR","TIM1_CH1N","","","","",""
"41","PD3","I/O","","","USART2_CTS/USART2_NSS","SPI2_MISO","TIM1_CH2N","","","","",""
"42","PB3","I/O","","","I2S1_CK/SPI1_SCK","TIM1_CH2","","","USART1_CK/USART1_DE/USART1_RTS","","","EVENTOUT"
"43","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","","","USART1_CTS/USART1_NSS","TIM17_BK","","EVENTOUT"
"44","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BK","","","","I2C1_SMBA",""
"45","PB6","I/O","","","USART1_TX","TIM1_CH3","TIM16_CH1N","","SPI2_MISO","","I2C1_SCL","EVENTOUT"
"46","PB7","I/O","","","USART1_RX","SPI2_MOSI","TIM17_CH1N","","","","I2C1_SDA","EVENTOUT"
"47","PB8","I/O","","","","SPI2_SCK","TIM16_CH1","","","","I2C1_SCL","EVENTOUT"
"48","PB9","I/O","","","IR_OUT","","TIM17_CH1","","","SPI2_NSS","I2C1_SDA","EVENTOUT"
