"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"A1","PE3","I/O","","","TIM3_CH1","TSC_G7_IO2","","","","","",""
"A2","PE1","I/O","","","TIM17_CH1","EVENTOUT","","","","","",""
"A3","PB8","I/O","","","CEC","I2C1_SCL","TIM16_CH1","TSC_SYNC","","","",""
"A4","BOOT0","Boot","","","","","","","","","",""
"A5","PD7","I/O","","","USART2_CK","","","","","","",""
"A6","PD5","I/O","","","USART2_TX","","","","","","",""
"A7","PB4","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","EVENTOUT","TSC_G5_IO2","","TIM17_BKIN","",""
"A8","PB3","I/O","","","I2S1_CK/SPI1_SCK","EVENTOUT","TIM2_CH2","TSC_G5_IO1","","","",""
"A9","PA15","I/O","","","I2S1_WS/SPI1_NSS","USART2_RX","TIM2_CH1/TIM2_ETR","EVENTOUT","USART4_DE/USART4_RTS","","",""
"A10","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","","",""
"A11","PA13","I/O","","","SYS_SWDIO","IR_OUT","","","","","",""
"A12","PA12","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM1_ETR","TSC_G4_IO4","","","","COMP2_OUT"
"B1","PE4","I/O","","","TIM3_CH2","TSC_G7_IO3","","","","","",""
"B2","PE2","I/O","","","TIM3_ETR","TSC_G7_IO1","","","","","",""
"B3","PB9","I/O","","","IR_OUT","I2C1_SDA","TIM17_CH1","EVENTOUT","","I2S2_WS/SPI2_NSS","",""
"B4","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","TSC_G5_IO4","USART4_CTS","","",""
"B5","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","TSC_G5_IO3","","","",""
"B6","PD6","I/O","","","USART2_RX","","","","","","",""
"B7","PD4","I/O","","","USART2_DE/USART2_RTS","I2S2_SD/SPI2_MOSI","","","","","",""
"B8","PD3","I/O","","","USART2_CTS","I2S2_MCK/SPI2_MISO","","","","","",""
"B9","PD1","I/O","","","","I2S2_CK/SPI2_SCK","","","","","",""
