"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VDD","Power","","","","","","","","","","","","","","","","","",""
"A2","PC10","I/O","","","DEBUG_TRACED1","","LPTIM3_ETR","","","","SPI3_SCK","USART3_TX","UART4_TX","TSC_G3_IO2","","","SDMMC1_D2","SAI2_SCK_B","","EVENTOUT"
"A3","PD2","I/O","","","DEBUG_TRACED2","","TIM3_ETR","","","","","USART3_DE/USART3_RTS","UART5_RX","TSC_SYNC","","","SDMMC1_CMD","","","EVENTOUT"
"A4","PG13","I/O","","","","","","","I2C1_SDA","","","USART1_CK","","","","","","","","EVENTOUT"
"A5","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"A6","PB5","I/O","","","","LPTIM1_IN1","TIM3_CH2","OCTOSPI1_NCLK","I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK","","TSC_G2_IO2","","","COMP2_OUT","SAI1_SD_B","TIM16_BKIN","EVENTOUT"
"A7","PB9","I/O","","","","IR_OUT","TIM4_CH4","SAI1_D2","I2C1_SDA","SPI2_NSS","","","SDMMC1_CDIR","FDCAN1_TX","","","SDMMC1_D5","SAI1_FS_A","TIM17_CH1","EVENTOUT"
"A8","VDD12","Power","","","","","","","","","","","","","","","","","",""
"A9","VDD","Power","","","","","","","","","","","","","","","","","",""
"B1","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"B2","VSS","Power","","","","","","","","","","","","","","","","","",""
"B3","PC12","I/O","","","DEBUG_TRACED3","","","","","","SPI3_MOSI","USART3_CK","UART5_TX","TSC_G3_IO4","","","SDMMC1_CK","SAI2_SD_B","","EVENTOUT"
"B4","PG12","I/O","","","","LPTIM1_ETR","","","","","SPI3_NSS","USART1_DE/USART1_RTS","","","","","","SAI2_SD_A","","EVENTOUT"
"B5","VSS","Power","","","","","","","","","","","","","","","","","",""
"B6","PB4 (NJTRST)","I/O","","","DEBUG_JTRST","","TIM3_CH1","","I2C3_SDA","SPI1_MISO","SPI3_MISO","USART1_CTS/USART1_NSS","UART5_DE/UART5_RTS","TSC_G2_IO1","","","","SAI1_MCLK_B","TIM17_BKIN","EVENTOUT"
"B7","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"B8","VSS","Power","","","","","","","","","","","","","","","","","",""
"B9","VBAT","Power","","","","","","","","","","","","","","","","","",""
"C1","PA11","I/O","","","","TIM1_CH4","","","","SPI1_MISO","","USART1_CTS/USART1_NSS","","FDCAN1_RX","USB_DM","","TIM1_BKIN2","","","EVENTOUT"
"C2","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","","FDCAN1_TX","USB_DP","","","","","EVENTOUT"
"C3","PC11","I/O","","","","","LPTIM3_IN1","","","OCTOSPI1_NCS","SPI3_MISO","USART3_RX","UART4_RX","TSC_G3_IO3","","UCPD1_FRSTX1/UCPD1_FRSTX2","SDMMC1_D3","SAI2_MCLK_B","","EVENTOUT"
"C4","PG10","I/O","","","","LPTIM1_IN1","","","","","SPI3_MISO","USART1_RX","","","","","","SAI2_FS_A","TIM15_CH1","EVENTOUT"
"C5","PG15","I/O","","","","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","","","","","EVENTOUT"
"C6","PB6","I/O","","","","LPTIM1_ETR","TIM4_CH1","","I2C1_SCL","I2C4_SCL","","USART1_TX","","TSC_G2_IO3","","","TIM8_BKIN2","SAI1_FS_B","TIM16_CH1N","EVENTOUT"
"C7","PB8","I/O","","","","","TIM4_CH3","SAI1_CK1","I2C1_SCL","DFSDM1_CKOUT","","","SDMMC1_CKIN","FDCAN1_RX","","","SDMMC1_D4","SAI1_MCLK_A","TIM16_CH1","EVENTOUT"
"C8","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C9","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D1","PA9","I/O","","","","TIM1_CH2","","SPI2_SCK","","","","USART1_TX","","","","","","SAI1_FS_A","TIM15_BKIN","EVENTOUT"
"D2","PA13 (JTMS/SWDIO)","I/O","","","DEBUG_JTMS-SWDIO","IR_OUT","","","","","","","","","USB_NOE","","","SAI1_SD_B","","EVENTOUT"
"D3","PA14 (JTCK/SWCLK)","I/O","","","DEBUG_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","I2C4_SMBA","","","","","","","","SAI1_FS_B","","EVENTOUT"
"D4","PG9","I/O","","","","","","","","","SPI3_SCK","USART1_TX","","","","","","SAI2_SCK_A","TIM15_CH1N","EVENTOUT"
"D5","PG14","I/O","","","","","","","I2C1_SCL","","","","","","","","","","","EVENTOUT"
"D6","PB7","I/O","","","","LPTIM1_IN2","TIM4_CH2","","I2C1_SDA","I2C4_SDA","","USART1_RX","","TSC_G2_IO4","","","","TIM8_BKIN","TIM17_CH1N","EVENTOUT"
"D7","PH3-BOOT0","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D8","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D9","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E1","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","","DFSDM1_CKIN3","","SDMMC1_D0DIR","TSC_G4_IO1","","","SDMMC1_D6","SAI2_MCLK_A","","EVENTOUT"
"E2","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","DFSDM1_DATIN3","","SDMMC1_D123DIR","TSC_G4_IO2","","","SDMMC1_D7","SAI2_MCLK_B","","EVENTOUT"
"E3","PA10","I/O","","","","TIM1_CH3","","SAI1_D1","","","","USART1_RX","","","CRS_SYNC","","","SAI1_SD_A","TIM17_BKIN","EVENTOUT"
"E4","PA15 (JTDI)","I/O","","","DEBUG_JTDI","TIM2_CH1","TIM2_ETR","USART2_RX","","SPI1_NSS","SPI3_NSS","USART3_DE/USART3_RTS","UART4_DE/UART4_RTS","","","","","SAI2_FS_B","","EVENTOUT"
"E5","PG11","I/O","","","","LPTIM1_IN2","","OCTOSPI1_IO5","","","SPI3_MOSI","USART1_CTS/USART1_NSS","","","","","","SAI2_MCLK_A","TIM15_CH2","EVENTOUT"
"E6","PB3 (JTDO/TRACESWO)","I/O","","","DEBUG_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","SPI3_SCK","USART1_DE/USART1_RTS","","","CRS_SYNC","","","SAI1_SCK_B","","EVENTOUT"
"E7","PC0","I/O","","","","LPTIM1_IN1","","OCTOSPI1_IO7","I2C3_SCL","","","","LPUART1_RX","","","","SDMMC1_D5","SAI2_FS_A","LPTIM2_IN1","EVENTOUT"
"E8","VSS","Power","","","","","","","","","","","","","","","","","",""
"E9","NRST","Reset","","","","","","","","","","","","","","","","","",""
