"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"1","VBAT","Power","","","","","","","","","","","","","","","","","",""
"2","PC13","I/O","","","","","","","TIM1_CH1N","","","","","","","","","","",""
"3","PC14 - OSC32_IN","I/O","","","","","","","","","","","","","","","","","",""
"4","PC15 - OSC32_OUT","I/O","","","","","","","","","","","","","","","","","",""
"5","PF0-OSC_IN","I/O","","","","","","","I2C2_SDA","I2S2_WS/SPI2_NSS","TIM1_CH3N","","","","","","","","",""
"6","PF1-OSC_OUT","I/O","","","","","","","I2C2_SCL","I2S2_CK/SPI2_SCK","","","","","","","","","",""
"7","NRST","Reset","","","","","","","","","","","","","","","","","",""
"8","PC0","I/O","","","","EVENTOUT","TIM1_CH1","","","","","","","","","","","","",""
"9","PC1","I/O","","","","EVENTOUT","TIM1_CH2","","","","","","","","","","","","",""
"10","PC2","I/O","","","","EVENTOUT","TIM1_CH3","","","","","","","","","","","","",""
"11","PC3","I/O","","","","EVENTOUT","TIM1_CH4","","","","TIM1_BKIN2","","","","","","","","",""
"12","VSSA/VREF-","Power","","","","","","","","","","","","","","","","","",""
"13","VDDA/VREF+","Power","","","","","","","","","","","","","","","","","",""
"14","PA0","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G1_IO1","","","","USART2_CTS","","","","","","","","EVENTOUT"
"15","PA1","I/O","","","RTC_REFIN","TIM2_CH2","","TSC_G1_IO2","","","","USART2_DE/USART2_RTS","","TIM15_CH1N","","","","","","EVENTOUT"
"16","PA2","I/O","","","","TIM2_CH3","","TSC_G1_IO3","","","","USART2_TX","COMP2_OUT","TIM15_CH1","","","","","","EVENTOUT"
"17","PA3","I/O","","","","TIM2_CH4","","TSC_G1_IO4","","","","USART2_RX","","TIM15_CH2","","","","","","EVENTOUT"
"18","VSS","Power","","","","","","","","","","","","","","","","","",""
"19","VDD","Power","","","","","","","","","","","","","","","","","",""
"20","PA4","I/O","","","","","","TSC_G2_IO1","","","I2S3_WS/SPI3_NSS","USART2_CK","","","","","","","","EVENTOUT"
"21","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TSC_G2_IO2","","","","","","","","","","","","EVENTOUT"
"22","PA6","I/O","","","","TIM16_CH1","","TSC_G2_IO3","","","TIM1_BKIN","","","","","","","","","EVENTOUT"
"23","PA7","I/O","","","","TIM17_CH1","","TSC_G2_IO4","","","TIM1_CH1N","","","","","","","","","EVENTOUT"
"24","PC4","I/O","","","","EVENTOUT","TIM1_ETR","","","","","USART1_TX","","","","","","","",""
"25","PC5","I/O","","","","EVENTOUT","TIM15_BKIN","TSC_G3_IO1","","","","USART1_RX","","","","","","","",""
"26","PB0","I/O","","","","","","TSC_G3_IO2","","","TIM1_CH2N","","","","","","","","","EVENTOUT"
"27","PB1","I/O","","","","","","TSC_G3_IO3","","","TIM1_CH3N","","COMP4_OUT","","","","","","","EVENTOUT"
"28","PB2","I/O","","","","","","TSC_G3_IO4","","","","","","","","","","","","EVENTOUT"
"29","PB10","I/O","","","","TIM2_CH3","","TSC_SYNC","","","","USART3_TX","","","","","","","","EVENTOUT"
"30","PB11","I/O","","","","TIM2_CH4","","TSC_G6_IO1","","","","USART3_RX","","","","","","","","EVENTOUT"
"31","VSS","Power","","","","","","","","","","","","","","","","","",""
"32","VDD","Power","","","","","","","","","","","","","","","","","",""
"33","PB12","I/O","","","","","","TSC_G6_IO2","I2C2_SMBA","I2S2_WS/SPI2_NSS","TIM1_BKIN","USART3_CK","","","","","","","","EVENTOUT"
"34","PB13","I/O","","","","","","TSC_G6_IO3","","I2S2_CK/SPI2_SCK","TIM1_CH1N","USART3_CTS","","","","","","","","EVENTOUT"
"35","PB14","I/O","","","","TIM15_CH1","","TSC_G6_IO4","","I2S2_ext_SD/SPI2_MISO","TIM1_CH2N","USART3_DE/USART3_RTS","","","","","","","","EVENTOUT"
"36","PB15","I/O","","","RTC_REFIN","TIM15_CH2","TIM15_CH1N","","TIM1_CH3N","I2S2_SD/SPI2_MOSI","","","","","","","","","","EVENTOUT"
"37","PC6","I/O","","","","EVENTOUT","","","","","I2S2_MCK","COMP6_OUT","","","","","","","",""
"38","PC7","I/O","","","","EVENTOUT","","","","","I2S3_MCK","","","","","","","","",""
"39","PC8","I/O","","","","EVENTOUT","","","","","","","","","","","","","",""
"40","PC9","I/O","","","","EVENTOUT","","I2C3_SDA","","I2S_CKIN","","","","","","","","","",""
"41","PA8","I/O","","","RCC_MCO","","","I2C3_SCL","I2C2_SMBA","I2S2_MCK","TIM1_CH1","USART1_CK","","","","","","","","EVENTOUT"
"42","PA9","I/O","","","","","I2C3_SMBA","TSC_G4_IO1","I2C2_SCL","I2S3_MCK","TIM1_CH2","USART1_TX","","TIM15_BKIN","TIM2_CH3","","","","","EVENTOUT"
"43","PA10","I/O","","","","TIM17_BKIN","","TSC_G4_IO2","I2C2_SDA","I2S2_ext_SD/SPI2_MISO","TIM1_CH3","USART1_RX","COMP6_OUT","","TIM2_CH4","","","","","EVENTOUT"
"44","PA11","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","TIM1_CH1N","USART1_CTS","","","","TIM1_CH4","TIM1_BKIN2","","","EVENTOUT"
"45","PA12","I/O","","","","TIM16_CH1","","","","I2S_CKIN","TIM1_CH2N","USART1_DE/USART1_RTS","COMP2_OUT","","","TIM1_ETR","","","","EVENTOUT"
"46","PA13","I/O","","","SYS_JTMS-SWDIO","TIM16_CH1N","","TSC_G4_IO3","","IR_OUT","","USART3_CTS","","","","","","","","EVENTOUT"
"47","VSS","Power","","","","","","","","","","","","","","","","","",""
"48","VDD","Power","","","","","","","","","","","","","","","","","",""
"49","PA14","I/O","","","SYS_JTCK-SWCLK","","","TSC_G4_IO4","I2C1_SDA","","TIM1_BKIN","USART2_TX","","","","","","","","EVENTOUT"
"50","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","TSC_SYNC","I2C1_SCL","","I2S3_WS/SPI3_NSS","USART2_RX","","TIM1_BKIN","","","","","","EVENTOUT"
"51","PC10","I/O","","","","EVENTOUT","","","","","I2S3_CK/SPI3_SCK","USART3_TX","","","","","","","",""
"52","PC11","I/O","","","","EVENTOUT","","","","","I2S3_ext_SD/SPI3_MISO","USART3_RX","","","","","","","",""
