"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"1","VDD","Power","","","","","","","","",""
"2","PC14-OSC32_IN","I/O","","","","","","","","",""
"3","PC15-OSC32_OUT","I/O","","","","","","","","",""
"4","NRST","Reset","","","","","","","","",""
"5","VDDA","Power","","","","","","","","",""
"6","PA0","I/O","","","","","TIM2_CH1","","USART2_CTS","TIM2_ETR",""
"7","PA1","I/O","","","EVENTOUT","","TIM2_CH2","","USART2_DE/USART2_RTS","TIM21_ETR",""
"8","PA2","I/O","","","TIM21_CH1","","TIM2_CH3","","USART2_TX","",""
"9","PA3","I/O","","","TIM21_CH2","","TIM2_CH4","","USART2_RX","",""
"10","PA4","I/O","","","SPI1_NSS","","","","USART2_CK","",""
"11","PA5","I/O","","","SPI1_SCK","","TIM2_ETR","","","TIM2_CH1",""
"12","PA6","I/O","","","SPI1_MISO","","","","","","EVENTOUT"
"13","PA7","I/O","","","SPI1_MOSI","","","","","","EVENTOUT"
"14","PB0","I/O","","","EVENTOUT","","","","","",""
"15","PB1","I/O","","","","","","","","",""
"16","VSS","Power","","","","","","","","",""
"17","VDD","Power","","","","","","","","",""
"18","PA8","I/O","","","RCC_MCO","","","EVENTOUT","","",""
"19","PA9","I/O","","","RCC_MCO","","","","","",""
"20","PA10","I/O","","","","","","","","",""
"21","PA11","I/O","","","SPI1_MISO","","EVENTOUT","","","",""
"22","PA12","I/O","","","SPI1_MOSI","","EVENTOUT","","","",""
"23","PA13","I/O","","","SYS_SWDIO","","","","","",""
"24","PA14","I/O","","","SYS_SWCLK","","","","USART2_TX","",""
"25","PA15","I/O","","","SPI1_NSS","","TIM2_ETR","EVENTOUT","USART2_RX","TIM2_CH1",""
"26","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","","EVENTOUT","",""
"27","PB4","I/O","","","SPI1_MISO","","EVENTOUT","","","",""
"28","PB5","I/O","","","SPI1_MOSI","","LPTIM1_IN1","I2C1_SMBA","","",""
"29","PB6","I/O","","","","I2C1_SCL","LPTIM1_ETR","","","",""
"30","PB7","I/O","","","","I2C1_SDA","LPTIM1_IN2","","","",""
"31","BOOT0","Boot","","","","","","","","",""
"32","VSS","Power","","","","","","","","",""
